seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
2,25,0.25,1,41,544.2105136,TRUE,TRUE,1.5
3,25,0.25,1,40,532.5469374,TRUE,TRUE,1.5
4,25,0.25,1,8001,15104.88058,TRUE,FALSE,1.5
5,25,0.25,1,33,517.3609204,TRUE,TRUE,1.5
6,25,0.25,1,41,536.3672452,TRUE,TRUE,1.5
7,25,0.25,1,45,550.5860049,TRUE,TRUE,1.5
8,25,0.25,1,230,1036.402887,TRUE,TRUE,1.5
9,25,0.25,1,53,566.3912948,TRUE,TRUE,1.5
10,25,0.25,1,61,530.1041719,TRUE,TRUE,1.5
11,25,0.25,1,53,559.7927091,TRUE,TRUE,1.5
12,25,0.25,1,41,556.6571106,TRUE,TRUE,1.5
13,25,0.25,1,55,594.7922251,TRUE,TRUE,1.5
14,25,0.25,1,40,549.5438759,TRUE,TRUE,1.5
15,25,0.25,1,64,597.9714226,TRUE,TRUE,1.5
16,25,0.25,1,41,577.1404075,TRUE,TRUE,1.5
17,25,0.25,1,50,604.9894959,TRUE,TRUE,1.5
18,25,0.25,1,49,594.665253,TRUE,TRUE,1.5
19,25,0.25,1,45,530.7982449,TRUE,TRUE,1.5
0,25,0.25,1,107,885.4199932,TRUE,TRUE,1.7
1,25,0.25,1,1290,6642.530369,TRUE,TRUE,1.7
2,25,0.25,1,8001,23674.35956,TRUE,FALSE,1.7
3,25,0.25,1,50,596.9026223,TRUE,TRUE,1.7
4,25,0.25,1,52,650.9684756,TRUE,TRUE,1.7
5,25,0.25,1,57,561.8064592,TRUE,TRUE,1.7
6,25,0.25,1,6287,23888.8558,TRUE,TRUE,1.7
7,25,0.25,1,77,720.450111,TRUE,TRUE,1.7
8,25,0.25,1,70,573.5889046,TRUE,TRUE,1.7
9,25,0.25,1,61,589.9215,TRUE,TRUE,1.7
10,25,0.25,1,38,549.6258392,TRUE,TRUE,1.7
11,25,0.25,1,8001,27845.09909,TRUE,FALSE,1.7
12,25,0.25,1,334,1984.041785,TRUE,TRUE,1.7
13,25,0.25,1,43,623.0691648,TRUE,TRUE,1.7
14,25,0.25,1,37,606.2689225,TRUE,TRUE,1.7
15,25,0.25,1,46,575.1470889,TRUE,TRUE,1.7
16,25,0.25,1,8001,62675.66843,TRUE,FALSE,1.7
17,25,0.25,1,8001,21300.31975,TRUE,FALSE,1.7
18,25,0.25,1,8001,36373.62055,TRUE,FALSE,1.7
19,25,0.25,1,38,529.6607752,TRUE,TRUE,1.7
0,25,0.25,1,8001,118897.8974,TRUE,FALSE,1.9
1,25,0.25,1,8001,137802.5178,TRUE,FALSE,1.9
2,25,0.25,1,8001,108721.6759,TRUE,FALSE,1.9
3,25,0.25,1,8001,140930.5788,TRUE,FALSE,1.9
4,25,0.25,1,8001,128916.1713,TRUE,FALSE,1.9
5,25,0.25,1,8001,85718.317,TRUE,FALSE,1.9
6,25,0.25,1,8001,138078.1307,TRUE,FALSE,1.9
7,25,0.25,1,8001,93345.57301,TRUE,FALSE,1.9
8,25,0.25,1,8001,120198.7799,TRUE,FALSE,1.9
9,25,0.25,1,8001,137793.5983,TRUE,FALSE,1.9
10,25,0.25,1,8001,116188.6132,TRUE,FALSE,1.9
11,25,0.25,1,8001,128437.917,TRUE,FALSE,1.9
12,25,0.25,1,8001,137448.3957,TRUE,FALSE,1.9
13,25,0.25,1,8001,144671.0675,TRUE,FALSE,1.9
14,25,0.25,1,8001,130431.6611,TRUE,FALSE,1.9
15,25,0.25,1,8001,131344.4744,TRUE,FALSE,1.9
16,25,0.25,1,8001,134433.6683,TRUE,FALSE,1.9
17,25,0.25,1,8001,124776.3795,TRUE,FALSE,1.9
