seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,iteration_interval
0,32,32,25.6,498,918.4802329,TRUE,TRUE,0.1
0,32,32,25.8,473,888.4730908,TRUE,TRUE,0.1
0,32,32,26,470,854.3424487,TRUE,TRUE,0.1
0,32,32,26.2,447,869.8099857,TRUE,TRUE,0.1
0,32,32,26.4,469,862.583797,TRUE,TRUE,0.1
0,32,32,26.6,422,854.5664128,TRUE,TRUE,0.1
0,32,32,26.8,571,930.7460886,TRUE,TRUE,0.1
0,32,32,27,444,870.0197718,TRUE,TRUE,0.1
0,32,32,27.2,443,862.4447742,TRUE,TRUE,0.1
0,32,32,27.4,458,892.3450615,TRUE,TRUE,0.1
0,32,32,27.6,470,898.0377605,TRUE,TRUE,0.1
0,32,32,27.8,441,855.4320053,TRUE,TRUE,0.1
0,32,32,28,479,902.0048337,TRUE,TRUE,0.1
0,32,32,28.2,479,804.7411443,TRUE,TRUE,0.1
0,32,32,28.4,457,847.8895951,TRUE,TRUE,0.1
0,32,32,28.6,453,873.2292534,TRUE,TRUE,0.1
0,32,32,28.8,502,927.4247936,TRUE,TRUE,0.1
0,32,32,29,429,843.8066922,TRUE,TRUE,0.1
0,32,32,29.2,472,910.7810566,TRUE,TRUE,0.1
0,32,32,29.4,455,841.8847035,TRUE,TRUE,0.1
0,32,32,29.6,431,863.9226536,TRUE,TRUE,0.1
0,32,32,29.8,437,867.5328741,TRUE,TRUE,0.1
0,32,32,30,502,947.0493897,TRUE,TRUE,0.1
0,32,32,30.2,560,876.3137482,TRUE,TRUE,0.1
0,32,32,30.4,509,854.1594249,TRUE,TRUE,0.1
0,32,32,30.6,440,830.7240749,TRUE,TRUE,0.1
0,32,32,30.8,456,846.7979953,TRUE,TRUE,0.1
0,32,32,31,473,894.1950768,TRUE,TRUE,0.1
0,32,32,31.2,456,859.3372152,TRUE,TRUE,0.1
0,32,32,31.4,490,889.9703185,TRUE,TRUE,0.1
0,32,32,31.6,611,904.4490098,TRUE,TRUE,0.1
0,32,32,31.8,506,886.2082968,TRUE,TRUE,0.1
0,32,32,32,453,863.994613,TRUE,TRUE,0.1
0,32,32,32.2,458,852.2767364,TRUE,TRUE,0.1
0,32,32,32.4,533,879.2276395,TRUE,TRUE,0.1
0,32,32,32.6,451,834.6453529,TRUE,TRUE,0.1
0,32,32,32.8,472,884.5430663,TRUE,TRUE,0.1
0,32,32,33,616,928.6726261,TRUE,TRUE,0.1
0,32,32,33.2,489,897.0751516,TRUE,TRUE,0.1
0,32,32,33.4,504,904.6733223,TRUE,TRUE,0.1
0,32,32,33.6,425,835.6712808,TRUE,TRUE,0.1
0,32,32,33.8,497,900.8599251,TRUE,TRUE,0.1
0,32,32,34,485,893.4813535,TRUE,TRUE,0.1
0,32,32,34.2,466,877.2855137,TRUE,TRUE,0.1
0,32,32,34.4,450,821.3083852,TRUE,TRUE,0.1
0,32,32,34.6,429,820.3889353,TRUE,TRUE,0.1
0,32,32,34.8,457,861.4890376,TRUE,TRUE,0.1
0,32,32,35,486,850.9390644,TRUE,TRUE,0.1
0,32,32,35.2,579,863.0670373,TRUE,TRUE,0.1
0,32,32,35.4,452,857.7878539,TRUE,TRUE,0.1
0,32,32,35.6,455,851.4863027,TRUE,TRUE,0.1
0,32,32,35.8,499,871.1683975,TRUE,TRUE,0.1
0,32,32,36,466,834.5517079,TRUE,TRUE,0.1
0,32,32,36.2,498,803.8205097,TRUE,TRUE,0.1
0,32,32,36.4,448,808.287794,TRUE,TRUE,0.1
0,32,32,36.6,461,873.5969927,TRUE,TRUE,0.1
0,32,32,36.8,449,844.1586072,TRUE,TRUE,0.1
0,32,32,37,466,825.3618245,TRUE,TRUE,0.1
0,32,32,37.2,407,811.398419,TRUE,TRUE,0.1
0,32,32,37.4,456,840.3319702,TRUE,TRUE,0.1
0,32,32,37.6,476,829.1669484,TRUE,TRUE,0.1
0,32,32,37.8,502,874.4455062,TRUE,TRUE,0.1
0,32,32,38,517,911.2338274,TRUE,TRUE,0.1
0,32,32,38.2,478,851.1139794,TRUE,TRUE,0.1
0,32,32,38.4,489,896.7607471,TRUE,TRUE,0.1
0,32,32,38.6,448,822.4649458,TRUE,TRUE,0.1
0,32,32,38.8,661,893.53933,TRUE,TRUE,0.1
0,32,32,39,482,884.6915836,TRUE,TRUE,0.1
0,32,32,39.2,476,831.4093654,TRUE,TRUE,0.1
0,32,32,39.4,526,913.5585543,TRUE,TRUE,0.1
0,32,32,39.6,452,832.8476318,TRUE,TRUE,0.1
0,32,32,39.8,511,863.4979469,TRUE,TRUE,0.1
0,32,32,40,575,905.3243138,TRUE,TRUE,0.1
0,32,32,40.2,434,815.4858735,TRUE,TRUE,0.1
0,32,32,40.4,510,873.1725959,TRUE,TRUE,0.1
0,32,32,40.6,536,870.190353,TRUE,TRUE,0.1
0,32,32,40.8,604,878.0205159,TRUE,TRUE,0.1
0,32,32,41,492,895.312379,TRUE,TRUE,0.1
0,32,32,41.2,451,791.2879264,TRUE,TRUE,0.1
0,32,32,41.4,587,914.32385,TRUE,TRUE,0.1
0,32,32,41.6,454,819.3156377,TRUE,TRUE,0.1
0,32,32,41.8,487,847.3527964,TRUE,TRUE,0.1
0,32,32,42,446,820.3159386,TRUE,TRUE,0.1
0,32,32,42.2,594,861.8685448,TRUE,TRUE,0.1
0,32,32,42.4,514,864.9053328,TRUE,TRUE,0.1
0,32,32,42.6,478,857.907687,TRUE,TRUE,0.1
0,32,32,42.8,612,884.0235461,TRUE,TRUE,0.1
0,32,32,43,469,841.2814459,TRUE,TRUE,0.1
0,32,32,43.2,456,810.1300598,TRUE,TRUE,0.1
0,32,32,43.4,547,849.8162785,TRUE,TRUE,0.1
0,32,32,43.6,547,892.7073715,TRUE,TRUE,0.1
0,32,32,43.8,556,845.0815956,TRUE,TRUE,0.1
0,32,32,44,579,824.2630789,TRUE,TRUE,0.1
0,32,32,44.2,490,814.8909356,TRUE,TRUE,0.1
0,32,32,44.4,526,831.5856423,TRUE,TRUE,0.1
0,32,32,44.6,490,809.2438706,TRUE,TRUE,0.1
0,32,32,44.8,538,861.5029979,TRUE,TRUE,0.1
0,32,32,45,477,879.1677191,TRUE,TRUE,0.1
0,32,32,45.2,446,792.0195339,TRUE,TRUE,0.1
0,32,32,45.4,461,805.8350507,TRUE,TRUE,0.1
0,32,32,45.6,498,829.5107566,TRUE,TRUE,0.1
0,32,32,45.8,568,845.7000948,TRUE,TRUE,0.1
0,32,32,46,569,854.201837,TRUE,TRUE,0.1
0,32,32,46.2,484,839.1609704,TRUE,TRUE,0.1
0,32,32,46.4,505,840.2749671,TRUE,TRUE,0.1
0,32,32,46.6,474,817.1099917,TRUE,TRUE,0.1
0,32,32,46.8,457,814.9437796,TRUE,TRUE,0.1
0,32,32,47,672,868.5566369,TRUE,TRUE,0.1
0,32,32,47.2,564,865.6900289,TRUE,TRUE,0.1
0,32,32,47.4,475,809.2655368,TRUE,TRUE,0.1
0,32,32,47.6,468,826.4938179,TRUE,TRUE,0.1
0,32,32,47.8,536,863.9225491,TRUE,TRUE,0.1
0,32,32,48,478,842.481834,TRUE,TRUE,0.1
0,32,32,48.2,651,887.5927652,TRUE,TRUE,0.1
0,32,32,48.4,460,826.7529695,TRUE,TRUE,0.1
0,32,32,48.6,495,842.0064192,TRUE,TRUE,0.1
0,32,32,48.8,488,808.0331947,TRUE,TRUE,0.1
0,32,32,49,528,837.3537883,TRUE,TRUE,0.1
0,32,32,49.2,567,846.1968787,TRUE,TRUE,0.1
0,32,32,49.4,512,818.4733564,TRUE,TRUE,0.1
0,32,32,49.6,491,814.5833482,TRUE,TRUE,0.1
0,32,32,49.8,507,816.7888536,TRUE,TRUE,0.1
0,32,32,50,595,878.2860844,TRUE,TRUE,0.1
0,32,32,50.2,557,835.3727247,TRUE,TRUE,0.1
0,32,32,50.4,486,787.9396111,TRUE,TRUE,0.1
0,32,32,50.6,515,814.4067497,TRUE,TRUE,0.1
0,32,32,50.8,543,868.4107216,TRUE,TRUE,0.1
0,32,32,51,529,843.2360036,TRUE,TRUE,0.1
0,32,32,51.2,547,864.4661568,TRUE,TRUE,0.1
0,32,32,51.4,457,806.6525346,TRUE,TRUE,0.1
