seed,robot_count,spring_constant,damping_coefficient,iteration,moved_distance,connectivity,converged
0,2,0.1,0.2,21,20.988218342714283,true,true
0,2,0.1,0.3,25,16.2115733765,true,true
0,2,0.1,0.4,18,9.6145310102,true,true
0,2,0.1,0.5,13,8.8886440141,true,true
0,2,0.1,0.6,13,6.3007194036000005,true,true
0,2,0.1,0.7,9,6.9352588169,true,true
0,2,0.1,0.8,13,7.4859081001000005,true,true
0,2,0.1,0.9,14,5.06559518,true,true
0,2,0.1,1.0,19,8.8331710343,true,true
0,2,0.1,1.1,19,6.146104339800001,true,true
0,2,0.1,1.2,20,4.9471701225,true,true
0,2,0.1,1.3,20,5.1211174802,true,true
0,2,0.1,1.4,22,4.940368208500001,true,true
0,2,0.1,1.5,28,7.4084525467999995,true,true
0,2,0.1,1.6,29,7.55335608,true,true
0,2,0.1,1.7,28,6.558154202500001,true,true
0,2,0.1,1.8,26,4.949361392799999,true,true
0,2,0.1,1.9,31,6.2021653170999995,true,true
0,2,0.1,2.0,34,7.0120037562999995,true,true
0,2,0.1,2.1,36,7.7201755009,true,true
0,2,0.1,2.2,36,5.6671494674,true,true
0,2,0.1,2.3,52,9.1737410718,true,true
0,2,0.1,2.4,41,6.099198234299999,true,true
0,2,0.1,2.5,86,16.125338084200003,true,true
0,2,0.1,2.6,73,10.6377597548,true,true
0,2,0.1,2.8,67,14.728916927,true,true
0,4,0.1,0.3,49,66.414982783,true,true
0,4,0.1,0.4,33,42.661481781000006,true,true
0,4,0.1,0.5,24,33.436071866000006,true,true
0,4,0.1,0.6,26,30.801113685,true,true
0,4,0.1,0.7,28,24.977200685000003,true,true
0,4,0.1,0.8,35,30.134066752000003,true,true
0,4,0.1,0.9,36,28.122446725000003,true,true
0,4,0.1,1.0,42,26.993154265999998,true,true
0,4,0.1,1.1,47,28.981657759999997,true,true
0,4,0.1,1.2,46,24.889599990999997,true,true
0,4,0.1,1.3,54,25.877383838000004,true,true
0,4,0.1,1.4,57,25.489434613000004,true,true
0,4,0.1,1.5,57,26.80203844,true,true
0,4,0.1,1.6,59,26.912331611000003,true,true
0,4,0.1,1.7,61,27.644464214,true,true
0,4,0.1,1.8,62,25.750064734,true,true
0,4,0.1,1.9,64,27.339090015000004,true,true
0,4,0.1,2.0,64,25.193638455000002,true,true
0,4,0.1,2.1,66,24.938844358999997,true,true
0,4,0.1,2.2,152,36.216854268000006,true,true
0,4,0.1,2.3,331,69.973978399,true,true
0,8,0.1,0.2,566,1003.4028139666666,true,true
0,8,0.1,0.3,65,177.820371,true,true
0,8,0.1,0.4,43,116.92141087,true,true
0,8,0.1,0.5,42,106.813866177,true,true
0,8,0.1,0.6,58,97.542589614,true,true
0,8,0.1,0.7,60,91.73661994,true,true
0,8,0.1,0.8,66,92.53515148099999,true,true
0,8,0.1,0.9,67,87.70924927799999,true,true
0,8,0.1,1.0,70,85.429126271,true,true
0,8,0.1,1.1,84,87.612414388,true,true
0,8,0.1,1.2,95,87.98882084699999,true,true
0,8,0.1,1.3,96,84.14288265100001,true,true
0,8,0.1,1.4,98,86.949422787,true,true
0,8,0.1,1.5,101,82.757696717,true,true
0,8,0.1,1.6,110,81.36782125900001,true,true
0,8,0.1,1.7,115,86.15129198700001,true,true
0,8,0.1,1.8,114,81.36314954599999,true,true
0,8,0.1,1.9,120,82.07838853500002,true,true
0,8,0.1,2.0,131,82.607149138,true,true
0,8,0.1,2.1,115,87.12843690000001,true,true
0,8,0.1,2.2,148,98.99779107500002,true,true
0,8,0.1,2.3,217,121.34400090900002,true,true
0,16,0.1,0.3,95,461.66909533,true,true
0,16,0.1,0.4,57,319.99461824,true,true
0,16,0.1,0.5,64,290.30050522000005,true,true
0,16,0.1,0.6,73,278.50055759,true,true
0,16,0.1,0.7,83,273.82738428999994,true,true
0,16,0.1,0.8,81,267.16725286,true,true
0,16,0.1,0.9,94,256.73984196000004,true,true
0,16,0.1,1.0,117,263.40626464999997,true,true
0,16,0.1,1.1,131,269.0349448,true,true
0,16,0.1,1.2,124,276.46797026999997,true,true
0,16,0.1,1.3,113,252.47965205999998,true,true
0,16,0.1,1.4,125,257.60870641,true,true
0,16,0.1,1.5,121,255.12282842000005,true,true
0,16,0.1,1.6,133,254.72442367,true,true
0,16,0.1,1.7,143,258.18960332,true,true
0,16,0.1,1.8,140,256.21416084000003,true,true
0,16,0.1,1.9,180,262.57395076,true,true
0,16,0.1,2.0,178,258.95919351,true,true
0,16,0.1,2.1,167,276.76406041999996,true,true
0,16,0.1,2.2,182,282.2730843,true,true
0,16,0.1,2.3,222,312.06941896,true,true
0,32,0.1,0.3,127,1081.5048659000001,true,true
0,32,0.1,0.4,73,842.8582827099999,true,true
0,32,0.1,0.5,86,806.99543938,true,true
0,32,0.1,0.6,106,809.09762505,true,true
0,32,0.1,0.7,115,804.8994265499999,true,true
0,32,0.1,0.8,127,785.28864012,true,true
0,32,0.1,0.9,156,805.3298727900001,true,true
0,32,0.1,1.0,152,804.00031026,true,true
0,32,0.1,1.1,158,795.1535036600001,true,true
0,32,0.1,1.2,176,802.11830248,true,true
0,32,0.1,1.3,173,784.10573285,true,true
0,32,0.1,1.4,206,797.93173481,true,true
0,32,0.1,1.5,201,781.03655982,true,true
0,32,0.1,1.6,222,807.23709923,true,true
0,32,0.1,1.7,212,781.28666258,true,true
0,32,0.1,1.8,221,792.68019216,true,true
