seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged
0,32,0.25,0.1,875,1207.222828,TRUE,TRUE
0,32,0.25,0.15,1118,1127.371782,TRUE,TRUE
0,32,0.25,0.2,816,1007.959732,TRUE,TRUE
0,32,0.25,0.25,678,925.3132192,TRUE,TRUE
0,32,0.25,0.3,698,936.8160933,TRUE,TRUE
0,32,0.25,0.35,632,973.9691283,TRUE,TRUE
0,32,0.25,0.4,572,862.4026592,TRUE,TRUE
0,32,0.25,0.45,482,841.5106461,TRUE,TRUE
0,32,0.25,0.5,508,841.8477987,TRUE,TRUE
0,32,0.25,0.55,497,826.8013931,TRUE,TRUE
0,32,0.25,0.6,566,813.489493,TRUE,TRUE
0,32,0.25,0.65,668,793.7941524,TRUE,TRUE
0,32,0.25,0.7,611,797.1330435,TRUE,TRUE
0,32,0.25,0.75,640,808.6343572,TRUE,TRUE
0,32,0.25,0.8,707,813.6138739,TRUE,TRUE
0,32,0.25,0.85,606,784.989461,TRUE,TRUE
0,32,0.25,0.9,680,815.7400987,TRUE,TRUE
0,32,0.25,0.95,972,807.2499305,TRUE,TRUE
0,32,0.25,1,770,781.6874089,TRUE,TRUE
0,32,0.25,1.05,641,798.9238969,TRUE,TRUE
0,32,0.25,1.1,611,783.3380608,TRUE,TRUE
0,32,0.25,1.15,776,803.6475832,TRUE,TRUE
0,32,0.25,1.2,655,804.0259678,TRUE,TRUE
0,32,0.25,1.25,690,783.1695669,TRUE,TRUE
0,32,0.25,1.3,825,773.9185338,TRUE,TRUE
0,32,0.25,1.35,937,819.1578851,TRUE,TRUE
0,32,0.25,1.4,1110,821.0388977,TRUE,TRUE
0,32,0.25,1.45,819,786.1201066,TRUE,TRUE
0,32,0.25,1.5,1148,796.890251,TRUE,TRUE
0,32,0.25,1.55,816,781.1387042,TRUE,TRUE
0,32,0.25,1.6,949,806.5280539,TRUE,TRUE
0,32,0.25,1.65,983,785.3521267,TRUE,TRUE
0,32,0.25,1.7,932,771.7696523,TRUE,TRUE
0,32,0.25,1.75,1283,797.2579789,TRUE,TRUE
0,32,0.25,1.8,968,769.4533368,TRUE,TRUE
0,32,0.25,1.85,984,783.9793492,TRUE,TRUE
0,32,0.25,1.9,921,739.7208266,TRUE,TRUE
0,32,0.25,1.95,1389,799.7031727,TRUE,TRUE
0,32,0.25,2,976,767.8593557,TRUE,TRUE
0,32,0.25,2.05,1025,771.0514617,TRUE,TRUE
0,32,0.25,2.1,933,774.7536687,TRUE,TRUE
0,32,0.25,2.15,1394,783.9846229,TRUE,TRUE
0,32,0.25,2.2,977,763.8706401,TRUE,TRUE
0,32,0.25,2.25,1270,832.7671931,TRUE,TRUE
0,32,0.25,2.3,1200,751.5079505,TRUE,TRUE
0,32,0.25,2.35,1163,764.6108785,TRUE,TRUE
0,32,0.25,2.4,1265,797.2053647,TRUE,TRUE
0,32,0.25,2.45,1304,799.4846427,TRUE,TRUE
0,32,0.25,2.5,1368,745.1965858,TRUE,TRUE
0,32,0.25,2.55,1185,768.0345523,TRUE,TRUE
0,32,0.25,2.6,1707,774.1487449,TRUE,TRUE
0,32,0.25,2.65,1144,772.2119169,TRUE,TRUE
0,32,0.25,2.7,1200,781.7987989,TRUE,TRUE
0,32,0.25,2.75,1806,729.8197586,TRUE,TRUE
