seed,robot count,iteration_interval,spring_constant,damping_coefficient,iteration,connectivity,converged,moved_distance,sum_consumed_energy,max_consumed_energy
0,32,0.1,0.4,3.5,3684,TRUE,TRUE,3128.535153,14618.68205,526.7623834
0,32,0.1,0.4,3.55,3304,TRUE,TRUE,3036.302408,13979.69254,498.434458
0,32,0.1,0.4,3.6,4484,TRUE,TRUE,3263.195936,16471.42519,578.1155192
0,32,0.1,0.4,3.65,3891,TRUE,TRUE,3093.928177,14928.55612,523.3073297
0,32,0.1,0.4,3.7,3516,TRUE,TRUE,3059.527101,14268.112,489.2859612
0,32,0.1,0.4,3.75,5765,TRUE,TRUE,3256.036055,18246.24591,667.8700947
0,32,0.1,0.4,3.8,4952,TRUE,TRUE,3323.083042,17126.08667,601.26352
0,32,0.1,0.4,3.85,4981,TRUE,TRUE,3115.120246,16856.5319,604.0311945
0,32,0.1,0.4,3.9,3164,TRUE,TRUE,3077.597496,13846.64767,473.5925905
0,32,0.1,0.4,3.95,4177,TRUE,TRUE,3175.490677,15671.81941,534.3839724
0,32,0.1,0.4,4,3693,TRUE,TRUE,3015.252747,14347.10874,527.8101191
0,32,0.1,0.4,4.05,3682,TRUE,TRUE,3059.510233,14632.2867,504.563613
0,32,0.1,0.4,4.1,5763,TRUE,TRUE,3208.689574,18478.52689,665.7227386
0,32,0.1,0.4,4.15,3931,TRUE,TRUE,3057.04037,15159.30296,543.9127531
0,32,0.1,0.4,4.2,4256,TRUE,TRUE,3073.241646,15696.44712,565.5498768
0,32,0.1,0.4,4.25,2795,TRUE,TRUE,2962.819215,12927.62089,459.8052924
0,32,0.1,0.4,4.3,3792,TRUE,TRUE,3058.800766,14747.5148,511.3023594
0,32,0.1,0.4,4.35,4385,TRUE,TRUE,2925.68096,15576.81954,583.0784315
0,32,0.1,0.4,4.4,4643,TRUE,TRUE,3196.28815,16578.33785,583.5956988
0,32,0.1,0.4,4.45,4056,TRUE,TRUE,3031.758008,15206.66823,535.403544
0,32,0.1,0.4,4.5,4853,TRUE,TRUE,3126.852349,16580.66788,572.1456598
0,32,0.1,0.4,4.55,5873,TRUE,TRUE,3178.688485,18550.73441,668.7888286
0,32,0.1,0.4,4.6,4252,TRUE,TRUE,3088.787711,15565.374,583.54654
0,32,0.1,0.4,4.65,5517,TRUE,TRUE,3134.244706,17752.7094,646.7280538
0,32,0.1,0.4,4.7,4712,TRUE,TRUE,3113.09944,16494.286,585.6531717
0,32,0.1,0.4,4.75,3254,TRUE,TRUE,2966.122555,13725.03946,478.9677843
0,32,0.1,0.4,4.8,4391,TRUE,TRUE,3029.234674,15866.02087,557.7856979
0,32,0.1,0.4,4.85,4110,TRUE,TRUE,2955.760675,15291.60821,550.0943464
0,32,0.1,0.4,4.9,3563,TRUE,TRUE,2941.564419,14211.92218,513.4715095
0,32,0.1,0.4,4.95,5533,TRUE,TRUE,3187.650344,17941.8121,657.3183826
0,32,0.1,0.4,5,4287,TRUE,TRUE,3061.115141,15726.25368,552.0102958
1,32,0.1,0.4,0.1,11598,TRUE,TRUE,4579.391955,31240.12165,1296.253387
1,32,0.1,0.4,0.15,3352,TRUE,TRUE,4028.174083,15939.56968,542.2740497
1,32,0.1,0.4,0.2,3430,TRUE,TRUE,3881.681551,15809.65337,567.7522646
1,32,0.1,0.4,0.25,3270,TRUE,TRUE,3831.982193,15224.31888,543.6110719
1,32,0.1,0.4,0.3,2635,TRUE,TRUE,3461.579535,13526.52271,461.905248
1,32,0.1,0.4,0.35,2555,TRUE,TRUE,3590.053876,13658.99499,455.9726093
1,32,0.1,0.4,0.4,2353,TRUE,TRUE,3536.701361,13304.57306,448.9205375
1,32,0.1,0.4,0.45,1915,TRUE,TRUE,3225.541511,11853.84985,403.3154797
1,32,0.1,0.4,0.5,1996,TRUE,TRUE,3373.290539,12271.48941,407.83785
1,32,0.1,0.4,0.55,1828,TRUE,TRUE,3274.982168,11820.46083,386.3671661
1,32,0.1,0.4,0.6,2058,TRUE,TRUE,3453.288782,12543.381,418.036423
1,32,0.1,0.4,0.65,1918,TRUE,TRUE,3360.754864,12098.27811,399.110862
1,32,0.1,0.4,0.7,1875,TRUE,TRUE,3323.14175,11975.41713,402.9947277
1,32,0.1,0.4,0.75,1803,TRUE,TRUE,3301.245734,11806.78325,398.0718091
1,32,0.1,0.4,0.8,1780,TRUE,TRUE,3380.992247,11986.0115,398.499767
1,32,0.1,0.4,0.85,1707,TRUE,TRUE,3214.586899,11461.6487,382.6687082
1,32,0.1,0.4,0.9,1702,TRUE,TRUE,3163.085925,11339.57899,391.239508
1,32,0.1,0.4,0.95,2055,TRUE,TRUE,3188.910133,12011.52484,415.16099
1,32,0.1,0.4,1,2566,TRUE,TRUE,3245.938945,12941.6124,442.3626136
1,32,0.1,0.4,1.05,2054,TRUE,TRUE,3371.631724,12470.54902,418.0646105
1,32,0.1,0.4,1.1,2107,TRUE,TRUE,3266.187696,12259.91811,413.4862769
1,32,0.1,0.4,1.15,1946,TRUE,TRUE,3168.593367,11799.16897,404.6622907
1,32,0.1,0.4,1.2,1683,TRUE,TRUE,3030.624447,11082.05118,393.8413957
1,32,0.1,0.4,1.25,2276,TRUE,TRUE,3299.413939,12609.56376,433.2361248
1,32,0.1,0.4,1.3,2389,TRUE,TRUE,3162.586873,12492.39639,420.7098147
1,32,0.1,0.4,1.35,1901,TRUE,TRUE,3102.694973,11620.88034,384.8884422
1,32,0.1,0.4,1.4,1833,TRUE,TRUE,3044.340808,11319.71484,382.4400106
1,32,0.1,0.4,1.45,2523,TRUE,TRUE,3224.156581,12779.25689,434.8648155
1,32,0.1,0.4,1.5,2156,TRUE,TRUE,3154.335931,12189.5559,407.621186
1,32,0.1,0.4,1.55,2143,TRUE,TRUE,3082.775397,11994.0804,410.8684171
1,32,0.1,0.4,1.6,2026,TRUE,TRUE,3132.326694,11913.69303,398.3180079
1,32,0.1,0.4,1.65,2208,TRUE,TRUE,3140.657284,12190.1132,416.9368355
1,32,0.1,0.4,1.7,2971,TRUE,TRUE,3077.302942,13311.02857,456.1964353
1,32,0.1,0.4,1.75,3919,TRUE,TRUE,3437.869129,15659.77051,543.2874223
1,32,0.1,0.4,1.8,2461,TRUE,TRUE,3269.546427,12954.21298,449.7076177
1,32,0.1,0.4,1.85,2357,TRUE,TRUE,3157.547191,12543.31345,423.791087
1,32,0.1,0.4,1.9,3665,TRUE,TRUE,3228.313708,14853.14845,519.4947983
1,32,0.1,0.4,1.95,2500,TRUE,TRUE,3134.776434,12707.99847,453.06694
1,32,0.1,0.4,2,2081,TRUE,TRUE,2967.214563,11626.9967,415.0627272
1,32,0.1,0.4,2.05,2850,TRUE,TRUE,3133.858153,13276.80768,470.3757655
1,32,0.1,0.4,2.1,2313,TRUE,TRUE,3038.149159,12207.37294,423.8520405
1,32,0.1,0.4,2.15,2805,TRUE,TRUE,3225.54202,13505.17845,478.799936
1,32,0.1,0.4,2.2,2597,TRUE,TRUE,3029.281907,12594.90649,427.0518114
1,32,0.1,0.4,2.25,2991,TRUE,TRUE,3162.206241,13601.32001,471.6402042
1,32,0.1,0.4,2.3,2480,TRUE,TRUE,3130.758852,12656.7878,424.5104016
1,32,0.1,0.4,2.35,3068,TRUE,TRUE,3042.295705,13369.53576,457.6807148
1,32,0.1,0.4,2.4,2818,TRUE,TRUE,3076.908412,13112.36227,444.8569592
