seed,robot count,iteration_interval,spring_constant,damping_coefficient,iteration,connectivity,converged,moved_distance,sum_consumed_energy,max_consumed_energy
0,32,0.1,4,1,20001,TRUE,FALSE,11533.96985,60455.3026,2507.611978
0,32,0.1,4,1.1,1868,TRUE,TRUE,3334.251826,11951.8542,402.5996273
0,32,0.1,4,1.2,1631,TRUE,TRUE,3396.489522,11727.53252,395.9738807
0,32,0.1,4,1.3,1667,TRUE,TRUE,3511.720943,11972.94726,405.7984522
0,32,0.1,4,1.4,1550,TRUE,TRUE,3227.413938,11216.20991,377.376018
0,32,0.1,4,1.5,1465,TRUE,TRUE,3252.845776,11131.35002,380.0222716
0,32,0.1,4,1.6,1575,TRUE,TRUE,3455.105743,11612.48704,392.4178426
0,32,0.1,4,1.7,1364,TRUE,TRUE,3271.278751,10946.57845,365.0062429
0,32,0.1,4,1.8,1473,TRUE,TRUE,3350.436355,11408.59192,378.3722973
0,32,0.1,4,1.9,1517,TRUE,TRUE,3482.842043,11719.78695,406.0655912
0,32,0.1,4,2,1380,TRUE,TRUE,3308.904439,11129.34081,376.4313275
0,32,0.1,4,2.1,1650,TRUE,TRUE,3427.041555,11839.23588,400.0061063
0,32,0.1,4,2.2,1413,TRUE,TRUE,3309.232107,11104.82737,369.0976465
0,32,0.1,4,2.3,1378,TRUE,TRUE,3311.033441,11087.09714,375.0726759
0,32,0.1,4,2.4,1382,TRUE,TRUE,3340.398237,11200.20149,384.8839339
0,32,0.1,4,2.5,1313,TRUE,TRUE,3159.227983,10700.14068,363.9552419
0,32,0.1,4,2.6,1439,TRUE,TRUE,3373.998299,11340.32743,379.512727
0,32,0.1,4,2.7,1451,TRUE,TRUE,3439.096078,11436.96642,385.8677825
0,32,0.1,4,2.8,1287,TRUE,TRUE,3160.144824,10678.00277,367.3650399
0,32,0.1,4,2.9,1395,TRUE,TRUE,3263.925969,11008.45598,363.8971254
0,32,0.1,4,3,1352,TRUE,TRUE,3239.168924,10914.42037,371.7020324
0,32,0.1,4,3.1,1446,TRUE,TRUE,3347.949152,11350.18707,385.9779779
0,32,0.1,4,3.2,1496,TRUE,TRUE,3292.895746,11307.02953,386.2874903
0,32,0.1,4,3.3,1367,TRUE,TRUE,3200.022615,10807.24826,359.5561596
0,32,0.1,4,3.4,1267,TRUE,TRUE,3097.752876,10431.60276,351.4824217
0,32,0.1,4,3.5,1619,TRUE,TRUE,3522.990164,11954.86693,406.7601381
0,32,0.1,4,3.6,1555,TRUE,TRUE,3357.25072,11463.40526,376.5099858
0,32,0.1,4,3.7,1345,TRUE,TRUE,3140.641204,10705.64949,361.5781723
0,32,0.1,4,3.8,1330,TRUE,TRUE,3174.384396,10762.26171,356.5746884
0,32,0.1,4,3.9,1397,TRUE,TRUE,3202.251603,10893.48428,370.9359238
0,32,0.1,4,4,1520,TRUE,TRUE,3263.767036,11275.18976,381.8794062
0,32,0.1,4,4.1,1593,TRUE,TRUE,3148.139006,11159.01066,372.7390316
0,32,0.1,4,4.2,1426,TRUE,TRUE,3093.722862,10738.88127,367.1848356
0,32,0.1,4,4.3,1542,TRUE,TRUE,3257.17688,11289.25392,374.2704089
0,32,0.1,4,4.4,1517,TRUE,TRUE,3237.971961,11134.73442,388.8219397
0,32,0.1,4,4.5,1586,TRUE,TRUE,3343.81835,11526.36261,401.6252935
0,32,0.1,4,4.6,1418,TRUE,TRUE,3146.521455,10807.4775,359.393873
0,32,0.1,4,4.7,1547,TRUE,TRUE,3109.897236,10973.74811,377.6423879
0,32,0.1,4,4.8,1668,TRUE,TRUE,3369.725732,11682.98403,407.8390035
0,32,0.1,4,4.9,1543,TRUE,TRUE,3223.159102,11254.82633,382.9881019
0,32,0.1,4,5,1966,TRUE,TRUE,3431.455738,12332.44437,428.9614973
0,32,0.1,4,5.1,1462,TRUE,TRUE,3240.147145,11178.70988,368.4357105
0,32,0.1,4,5.2,1656,TRUE,TRUE,3235.908885,11471.11339,401.3317544
0,32,0.1,4,5.3,1562,TRUE,TRUE,3126.343769,11072.71461,373.9116788
0,32,0.1,4,5.4,1529,TRUE,TRUE,3167.664713,11089.03073,397.2082917
0,32,0.1,4,5.5,1512,TRUE,TRUE,3238.383927,11131.54704,377.9858431
0,32,0.1,4,5.6,1473,TRUE,TRUE,3036.106626,10682.88226,363.5864442
0,32,0.1,4,5.7,1692,TRUE,TRUE,3251.230598,11501.75191,401.640054
0,32,0.1,4,5.8,1459,TRUE,TRUE,3074.289188,10720.58236,364.0781769
0,32,0.1,4,5.9,1570,TRUE,TRUE,3183.493144,11177.06979,380.6001356
0,32,0.1,4,6,1592,TRUE,TRUE,3172.517169,11194.23455,389.7210693
0,32,0.1,4,6.1,1527,TRUE,TRUE,3223.827652,11220.97293,383.0752991
0,32,0.1,4,6.2,1621,TRUE,TRUE,3164.035688,11224.87786,386.3525588
0,32,0.1,4,6.3,1467,TRUE,TRUE,3112.210604,10870.98494,357.8630794
0,32,0.1,4,6.4,1690,TRUE,TRUE,3266.218575,11574.01252,391.6946175
0,32,0.1,4,6.5,1689,TRUE,TRUE,3243.84497,11530.85459,387.8118476
0,32,0.1,4,6.6,1835,TRUE,TRUE,3311.684835,11950.24657,400.1261656
0,32,0.1,4,6.7,1845,TRUE,TRUE,3183.53258,11587.93592,397.3219343
0,32,0.1,4,6.8,1767,TRUE,TRUE,3261.257154,11714.06576,397.6476057
0,32,0.1,4,6.9,1860,TRUE,TRUE,3311.475295,11949.4745,412.8117302
0,32,0.1,4,7,1529,TRUE,TRUE,3106.123475,10958.11812,375.3415056
0,32,0.1,4,7.1,1710,TRUE,TRUE,3084.376182,11080.51394,375.1396092
0,32,0.1,4,7.2,1536,TRUE,TRUE,3125.466187,11020.86199,377.9326047
