seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,iteration_interval
0,32,16,2,3201,3942.424491,TRUE,FALSE,0.1
0,32,16,2.1,3201,3649.140046,TRUE,FALSE,0.1
0,32,16,2.2,3201,3771.908009,TRUE,FALSE,0.1
0,32,16,2.3,3201,3211.468247,TRUE,FALSE,0.1
0,32,16,2.4,3201,3392.664838,TRUE,FALSE,0.1
0,32,16,2.5,3201,2936.634257,TRUE,FALSE,0.1
0,32,16,2.6,3201,2651.081162,TRUE,FALSE,0.1
0,32,16,2.7,3201,2546.820646,TRUE,FALSE,0.1
0,32,16,2.8,3201,2152.872985,TRUE,FALSE,0.1
0,32,16,2.9,3201,2187.105425,TRUE,FALSE,0.1
0,32,16,3,3201,1874.153417,TRUE,FALSE,0.1
0,32,16,3.1,3201,2117.045388,TRUE,FALSE,0.1
0,32,16,3.2,811,1258.25205,TRUE,TRUE,0.1
0,32,16,3.3,950,1486.805591,TRUE,TRUE,0.1
0,32,16,3.4,813,1324.695474,TRUE,TRUE,0.1
0,32,16,3.5,740,1223.285888,TRUE,TRUE,0.1
0,32,16,3.6,781,1277.087689,TRUE,TRUE,0.1
0,32,16,3.7,972,1531.314016,TRUE,TRUE,0.1
0,32,16,3.8,770,1265.219392,TRUE,TRUE,0.1
0,32,16,3.9,677,1120.242107,TRUE,TRUE,0.1
0,32,16,4,612,1087.983942,TRUE,TRUE,0.1
0,32,16,4.1,648,1162.893868,TRUE,TRUE,0.1
0,32,16,4.2,744,1265.625719,TRUE,TRUE,0.1
0,32,16,4.3,626,1149.210221,TRUE,TRUE,0.1
0,32,16,4.4,691,1217.61873,TRUE,TRUE,0.1
0,32,16,4.5,553,1053.22734,TRUE,TRUE,0.1
0,32,16,4.6,630,1169.428682,TRUE,TRUE,0.1
0,32,16,4.7,683,1221.28172,TRUE,TRUE,0.1
0,32,16,4.8,630,1161.930747,TRUE,TRUE,0.1
0,32,16,4.9,515,1015.689884,TRUE,TRUE,0.1
0,32,16,5,594,1094.260977,TRUE,TRUE,0.1
0,32,16,5.1,632,1154.175726,TRUE,TRUE,0.1
0,32,16,5.2,595,1113.099598,TRUE,TRUE,0.1
0,32,16,5.3,577,1045.346802,TRUE,TRUE,0.1
0,32,16,5.4,648,1127.541927,TRUE,TRUE,0.1
0,32,16,5.5,634,1169.789236,TRUE,TRUE,0.1
0,32,16,5.6,501,983.8509923,TRUE,TRUE,0.1
0,32,16,5.7,609,1071.628251,TRUE,TRUE,0.1
0,32,16,5.8,599,1114.438115,TRUE,TRUE,0.1
0,32,16,5.9,557,1040.629062,TRUE,TRUE,0.1
0,32,16,6,537,1031.682042,TRUE,TRUE,0.1
0,32,16,6.1,490,960.7862537,TRUE,TRUE,0.1
0,32,16,6.2,554,1072.098577,TRUE,TRUE,0.1
0,32,16,6.3,539,1062.366617,TRUE,TRUE,0.1
0,32,16,6.4,518,973.9476555,TRUE,TRUE,0.1
0,32,16,6.5,659,1109.297983,TRUE,TRUE,0.1
0,32,16,6.6,468,982.1182556,TRUE,TRUE,0.1
0,32,16,6.7,526,998.7148497,TRUE,TRUE,0.1
0,32,16,6.8,481,961.3321054,TRUE,TRUE,0.1
0,32,16,6.9,462,931.8434102,TRUE,TRUE,0.1
0,32,16,7,556,1032.861348,TRUE,TRUE,0.1
0,32,16,7.1,578,1098.929686,TRUE,TRUE,0.1
0,32,16,7.2,453,900.8799162,TRUE,TRUE,0.1
0,32,16,7.3,448,873.4267977,TRUE,TRUE,0.1
0,32,16,7.4,493,1019.544484,TRUE,TRUE,0.1
0,32,16,7.5,555,1033.981073,TRUE,TRUE,0.1
0,32,16,7.6,460,915.1420012,TRUE,TRUE,0.1
0,32,16,7.7,597,1107.575114,TRUE,TRUE,0.1
0,32,16,7.8,510,1000.323698,TRUE,TRUE,0.1
0,32,16,7.9,483,979.3622519,TRUE,TRUE,0.1
0,32,16,8,495,963.7370483,TRUE,TRUE,0.1
0,32,16,8.1,671,1009.368341,TRUE,TRUE,0.1
0,32,16,8.2,538,941.141145,TRUE,TRUE,0.1
0,32,16,8.3,463,958.2782504,TRUE,TRUE,0.1
0,32,16,8.4,557,1062.958571,TRUE,TRUE,0.1
0,32,16,8.5,501,976.5014568,TRUE,TRUE,0.1
0,32,16,8.6,514,1019.748288,TRUE,TRUE,0.1
0,32,16,8.7,506,937.7900553,TRUE,TRUE,0.1
0,32,16,8.8,588,1050.829919,TRUE,TRUE,0.1
0,32,16,8.9,468,962.1752837,TRUE,TRUE,0.1
0,32,16,9,486,985.5320079,TRUE,TRUE,0.1
0,32,16,9.1,453,954.561669,TRUE,TRUE,0.1
0,32,16,9.2,460,929.9376287,TRUE,TRUE,0.1
0,32,16,9.3,487,968.4568368,TRUE,TRUE,0.1
0,32,16,9.4,484,941.738653,TRUE,TRUE,0.1
0,32,16,9.5,449,915.4927162,TRUE,TRUE,0.1
0,32,16,9.6,482,937.2453101,TRUE,TRUE,0.1
0,32,16,9.7,497,932.7431593,TRUE,TRUE,0.1
0,32,16,9.8,456,867.2399525,TRUE,TRUE,0.1
0,32,16,9.9,462,913.7007963,TRUE,TRUE,0.1
0,32,16,10,530,973.7749726,TRUE,TRUE,0.1
0,32,16,10.1,528,906.2396662,TRUE,TRUE,0.1
0,32,16,10.2,474,924.5872353,TRUE,TRUE,0.1
0,32,16,10.3,485,968.5809809,TRUE,TRUE,0.1
0,32,16,10.4,414,863.3443767,TRUE,TRUE,0.1
0,32,16,10.5,515,954.1441076,TRUE,TRUE,0.1
