seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged
4,2,0.5,3.2,157,12.68029342,TRUE,TRUE
4,2,0.5,3.4,127,5.50240264,TRUE,TRUE
4,2,0.5,3.6,87,1.512520185,TRUE,TRUE
4,2,0.5,3.8,128,4.238056288,TRUE,TRUE
4,2,0.5,4,179,11.67347792,TRUE,TRUE
4,2,0.5,4.2,114,2.391926608,TRUE,TRUE
4,2,0.5,4.4,117,2.358771663,TRUE,TRUE
4,2,0.5,4.6,93,1.190978722,TRUE,TRUE
4,2,0.5,4.8,179,7.394056585,TRUE,TRUE
5,2,0.5,0.2,49,5.795351187,TRUE,TRUE
5,2,0.5,0.4,46,5.041063623,TRUE,TRUE
5,2,0.5,0.6,112,13.91368109,TRUE,TRUE
5,2,0.5,0.8,72,10.53110136,TRUE,TRUE
5,2,0.5,1,61,8.070199636,TRUE,TRUE
5,2,0.5,1.2,65,8.570776597,TRUE,TRUE
5,2,0.5,1.4,70,8.79418492,TRUE,TRUE
5,2,0.5,1.6,51,3.130435979,TRUE,TRUE
5,2,0.5,1.8,74,6.744496572,TRUE,TRUE
5,2,0.5,2,91,8.308110158,TRUE,TRUE
5,2,0.5,2.2,56,1.193218151,TRUE,TRUE
5,2,0.5,2.4,111,8.874213607,TRUE,TRUE
5,2,0.5,2.6,75,1.989898543,TRUE,TRUE
5,2,0.5,2.8,134,10.62921077,TRUE,TRUE
5,2,0.5,3,132,8.701606159,TRUE,TRUE
5,2,0.5,3.2,147,10.49106425,TRUE,TRUE
5,2,0.5,3.4,152,10.25391103,TRUE,TRUE
5,2,0.5,3.6,155,9.492066608,TRUE,TRUE
5,2,0.5,3.8,167,10.67423722,TRUE,TRUE
5,2,0.5,4,180,11.97436207,TRUE,TRUE
5,2,0.5,4.2,161,7.093181627,TRUE,TRUE
5,2,0.5,4.4,107,1.816024178,TRUE,TRUE
5,2,0.5,4.6,147,4.236627282,TRUE,TRUE
5,2,0.5,4.8,195,9.96590251,TRUE,TRUE
6,2,0.5,0.2,44,4.596967075,TRUE,TRUE
6,2,0.5,0.4,77,11.66851417,TRUE,TRUE
6,2,0.5,0.6,92,9.738101777,TRUE,TRUE
6,2,0.5,0.8,54,6.704494598,TRUE,TRUE
6,2,0.5,1,40,3.070829147,TRUE,TRUE
6,2,0.5,1.2,73,10.1344769,TRUE,TRUE
6,2,0.5,1.4,77,10.43427647,TRUE,TRUE
6,2,0.5,1.6,1,0,TRUE,TRUE
6,2,0.5,1.8,83,8.619191927,TRUE,TRUE
6,2,0.5,2,77,5.241713381,TRUE,TRUE
6,2,0.5,2.2,92,6.546662093,TRUE,TRUE
6,2,0.5,2.4,117,10.20745983,TRUE,TRUE
6,2,0.5,2.6,73,1.836395985,TRUE,TRUE
6,2,0.5,2.8,127,9.123673104,TRUE,TRUE
6,2,0.5,3,103,3.822006655,TRUE,TRUE
6,2,0.5,3.2,129,6.781889525,TRUE,TRUE
6,2,0.5,3.4,143,8.186098106,TRUE,TRUE
6,2,0.5,3.6,115,3.430005351,TRUE,TRUE
6,2,0.5,3.8,143,6.143527161,TRUE,TRUE
6,2,0.5,4,161,8.074558307,TRUE,TRUE
6,2,0.5,4.2,185,11.75514324,TRUE,TRUE
6,2,0.5,4.4,196,12.85518468,TRUE,TRUE
6,2,0.5,4.6,142,3.82315051,TRUE,TRUE
6,2,0.5,4.8,187,8.485919883,TRUE,TRUE
7,2,0.5,0.2,119,15.84322238,TRUE,TRUE
7,2,0.5,0.4,51,6.066532843,TRUE,TRUE
7,2,0.5,0.6,1,0,TRUE,TRUE
7,2,0.5,0.8,34,1.625346304,TRUE,TRUE
7,2,0.5,1,66,9.151334852,TRUE,TRUE
7,2,0.5,1.2,59,7.196315559,TRUE,TRUE
7,2,0.5,1.4,62,7.152222911,TRUE,TRUE
7,2,0.5,1.6,84,10.64807232,TRUE,TRUE
7,2,0.5,1.8,86,9.30764319,TRUE,TRUE
7,2,0.5,2,66,2.999232068,TRUE,TRUE
7,2,0.5,2.2,89,5.84841025,TRUE,TRUE
7,2,0.5,2.4,91,4.73877428,TRUE,TRUE
7,2,0.5,2.6,104,5.893217015,TRUE,TRUE
7,2,0.5,2.8,118,7.327114923,TRUE,TRUE
7,2,0.5,3,136,9.649281515,TRUE,TRUE
7,2,0.5,3.2,157,12.5814988,TRUE,TRUE
7,2,0.5,3.4,124,5.076149668,TRUE,TRUE
7,2,0.5,3.6,149,8.267429427,TRUE,TRUE
7,2,0.5,3.8,172,11.71514674,TRUE,TRUE
7,2,0.5,4,166,9.151842199,TRUE,TRUE
7,2,0.5,4.2,1,0,TRUE,TRUE
7,2,0.5,4.4,183,10.02687823,TRUE,TRUE
7,2,0.5,4.6,158,5.289440212,TRUE,TRUE
7,2,0.5,4.8,200,10.86036527,TRUE,TRUE
8,2,0.5,0.2,125,17.09368316,TRUE,TRUE
8,2,0.5,0.4,81,12.45221392,TRUE,TRUE
8,2,0.5,0.6,36,2.839825817,TRUE,TRUE
8,2,0.5,0.8,89,8.646365891,TRUE,TRUE
8,2,0.5,1,83,12.84739036,TRUE,TRUE
8,2,0.5,1.2,79,11.43663061,TRUE,TRUE
8,2,0.5,1.4,85,11.97049614,TRUE,TRUE
8,2,0.5,1.6,62,5.982934795,TRUE,TRUE
